Binary,Decimal
0000000000,0
0000000001,1
0000000010,2
0000000011,3
0000000100,4
0000000101,5
0000000110,6
0000000111,7
0000001000,8
0000001001,9
0000001010,10
0000001011,11
0000001100,12
0000001101,13
0000001110,14
0000001111,15
0000010000,16
0000010001,17
0000010010,18
0000010011,19
0000010100,20
0000010101,21
0000010110,22
0000010111,23
0000011000,24
0000011001,25
0000011010,26
0000011011,27
0000011100,28
0000011101,29
0000011110,30
0000011111,31
0000100000,32
0000100001,33
0000100010,34
0000100011,35
0000100100,36
0000100101,37
0000100110,38
0000100111,39
0000101000,40
0000101001,41
0000101010,42
0000101011,43
0000101100,44
0000101101,45
0000101110,46
0000101111,47
0000110000,48
0000110001,49
0000110010,50
0000110011,51
0000110100,52
0000110101,53
0000110110,54
0000110111,55
0000111000,56
0000111001,57
0000111010,58
0000111011,59
0000111100,60
0000111101,61
0000111110,62
0000111111,63
0001000000,64
0001000001,65
0001000010,66
0001000011,67
0001000100,68
0001000101,69
0001000110,70
0001000111,71
0001001000,72
0001001001,73
0001001010,74
0001001011,75
0001001100,76
0001001101,77
0001001110,78
0001001111,79
0001010000,80
0001010001,81
0001010010,82
0001010011,83
0001010100,84
0001010101,85
0001010110,86
0001010111,87
0001011000,88
0001011001,89
0001011010,90
0001011011,91
0001011100,92
0001011101,93
0001011110,94
0001011111,95
0001100000,96
0001100001,97
0001100010,98
0001100011,99
0001100100,100
0001100101,101
0001100110,102
0001100111,103
0001101000,104
0001101001,105
0001101010,106
0001101011,107
0001101100,108
0001101101,109
0001101110,110
0001101111,111
0001110000,112
0001110001,113
0001110010,114
0001110011,115
0001110100,116
0001110101,117
0001110110,118
0001110111,119
0001111000,120
0001111001,121
0001111010,122
0001111011,123
0001111100,124
0001111101,125
0001111110,126
0001111111,127
0010000000,128
0010000001,129
0010000010,130
0010000011,131
0010000100,132
0010000101,133
0010000110,134
0010000111,135
0010001000,136
0010001001,137
0010001010,138
0010001011,139
0010001100,140
0010001101,141
0010001110,142
0010001111,143
0010010000,144
0010010001,145
0010010010,146
0010010011,147
0010010100,148
0010010101,149
0010010110,150
0010010111,151
0010011000,152
0010011001,153
0010011010,154
0010011011,155
0010011100,156
0010011101,157
0010011110,158
0010011111,159
0010100000,160
0010100001,161
0010100010,162
0010100011,163
0010100100,164
0010100101,165
0010100110,166
0010100111,167
0010101000,168
0010101001,169
0010101010,170
0010101011,171
0010101100,172
0010101101,173
0010101110,174
0010101111,175
0010110000,176
0010110001,177
0010110010,178
0010110011,179
0010110100,180
0010110101,181
0010110110,182
0010110111,183
0010111000,184
0010111001,185
0010111010,186
0010111011,187
0010111100,188
0010111101,189
0010111110,190
0010111111,191
0011000000,192
0011000001,193
0011000010,194
0011000011,195
0011000100,196
0011000101,197
0011000110,198
0011000111,199
0011001000,200
0011001001,201
0011001010,202
0011001011,203
0011001100,204
0011001101,205
0011001110,206
0011001111,207
0011010000,208
0011010001,209
0011010010,210
0011010011,211
0011010100,212
0011010101,213
0011010110,214
0011010111,215
0011011000,216
0011011001,217
0011011010,218
0011011011,219
0011011100,220
0011011101,221
0011011110,222
0011011111,223
0011100000,224
0011100001,225
0011100010,226
0011100011,227
0011100100,228
0011100101,229
0011100110,230
0011100111,231
0011101000,232
0011101001,233
0011101010,234
0011101011,235
0011101100,236
0011101101,237
0011101110,238
0011101111,239
0011110000,240
0011110001,241
0011110010,242
0011110011,243
0011110100,244
0011110101,245
0011110110,246
0011110111,247
0011111000,248
0011111001,249
0011111010,250
0011111011,251
0011111100,252
0011111101,253
0011111110,254
0011111111,255
0100000000,256
0100000001,257
0100000010,258
0100000011,259
0100000100,260
0100000101,261
0100000110,262
0100000111,263
0100001000,264
0100001001,265
0100001010,266
0100001011,267
0100001100,268
0100001101,269
0100001110,270
0100001111,271
0100010000,272
0100010001,273
0100010010,274
0100010011,275
0100010100,276
0100010101,277
0100010110,278
0100010111,279
0100011000,280
0100011001,281
0100011010,282
0100011011,283
0100011100,284
0100011101,285
0100011110,286
0100011111,287
0100100000,288
0100100001,289
0100100010,290
0100100011,291
0100100100,292
0100100101,293
0100100110,294
0100100111,295
0100101000,296
0100101001,297
0100101010,298
0100101011,299
0100101100,300
0100101101,301
0100101110,302
0100101111,303
0100110000,304
0100110001,305
0100110010,306
0100110011,307
0100110100,308
0100110101,309
0100110110,310
0100110111,311
0100111000,312
0100111001,313
0100111010,314
0100111011,315
0100111100,316
0100111101,317
0100111110,318
0100111111,319
0101000000,320
0101000001,321
0101000010,322
0101000011,323
0101000100,324
0101000101,325
0101000110,326
0101000111,327
0101001000,328
0101001001,329
0101001010,330
0101001011,331
0101001100,332
0101001101,333
0101001110,334
0101001111,335
0101010000,336
0101010001,337
0101010010,338
0101010011,339
0101010100,340
0101010101,341
0101010110,342
0101010111,343
0101011000,344
0101011001,345
0101011010,346
0101011011,347
0101011100,348
0101011101,349
0101011110,350
0101011111,351
0101100000,352
0101100001,353
0101100010,354
0101100011,355
0101100100,356
0101100101,357
0101100110,358
0101100111,359
0101101000,360
0101101001,361
