StudentID,Age,Gender,Department,StudyHours,SleepHours,Attendance,InternetAccess,FamilyIncome,Marks
1,24,Female,EE,7.0,4.0,86.0,No,59986,61.21141994637712
2,21,Male,CSE,9.0,4.0,55.0,No,44160,66.82740187532676
3,22,Male,EE,,4.0,75.0,No,99111,44.91355774949814
4,24,Female,CSE,1.0,8.0,83.0,No,84929,36.9467372009279
5,20,Female,ECE,1.0,7.0,94.0,Yes,93506,44.69449061809625
6,22,Female,CSE,2.0,,55.0,Yes,54911,24.685807197801704
7,22,Female,EE,,7.0,86.0,No,51821,53.57248739299614
8,24,Female,EE,9.0,8.0,82.0,No,150000,76.8669223855885
9,19,Female,EE,8.0,8.0,71.0,Yes,80535,69.19786072865355
10,20,Female,EE,5.0,6.0,70.0,No,32175,43.38569986423366
11,24,Female,EE,1.0,8.0,55.0,No,74771,19.399065914520712
12,20,Male,ME,7.0,5.0,55.0,Yes,86358,50.09107695569747
13,20,Female,ME,,6.0,97.0,No,37327,47.37774744482861
14,22,Female,CSE,6.0,8.0,53.0,No,67057,41.30674026757901
15,21,Male,EE,7.0,4.0,79.0,No,26150,53.679296166239666
16,20,Female,CSE,3.0,5.0,60.0,Yes,24425,29.161012174479357
17,23,Male,EE,3.0,5.0,79.0,Yes,36032,38.526575563066096
18,22,Male,EE,5.0,5.0,80.0,Yes,22198,50.1710736626826
19,19,Female,ME,,6.0,73.0,No,80500,59.65250246407038
20,21,Male,ME,9.0,8.0,58.0,No,73394,57.408229796306046
21,23,Male,ECE,5.0,8.0,52.0,Yes,40079,45.52161199238292
22,23,Male,ME,1.0,4.0,80.0,No,56220,27.930055778872454
23,19,Male,ECE,4.0,4.0,89.0,No,61874,46.45268145173784
24,21,Female,ECE,5.0,5.0,,No,33859,54.17409746083302
25,22,Male,ECE,5.0,4.0,85.0,No,70460,44.886389892188504
26,18,Female,ECE,7.0,6.0,73.0,No,51419,58.81204873092025
27,21,Male,ECE,,8.0,80.0,Yes,28705,44.83226104106528
28,19,Male,CSE,1.0,5.0,55.0,No,62880,23.962256320040744
29,23,Male,ME,5.0,4.0,51.0,Yes,43236,41.74584321953909
30,22,Male,ECE,7.0,6.0,69.0,No,35358,67.97650069955448
31,21,Female,EE,6.0,6.0,77.0,Yes,96918,49.911300078743416
32,18,Female,ME,5.0,4.0,60.0,No,34596,40.34501522499091
33,18,Male,ME,4.0,8.0,53.0,Yes,53572,32.78429736787618
34,20,Male,ECE,2.0,4.0,64.0,No,98757,26.422614404198725
35,20,Female,CSE,4.0,5.0,55.0,Yes,21279,33.31306436346741
36,24,Male,ECE,3.0,4.0,98.0,No,83197,50.34508265553776
37,19,Male,CSE,1.0,6.0,79.0,Yes,82516,35.80252123994927
38,21,Male,EE,8.0,,87.0,No,27083,63.24626853125261
39,21,Female,ME,5.0,8.0,,Yes,37771,36.13822213447885
40,24,Female,EE,4.0,,64.0,Yes,49975,41.55707778193202
41,23,Female,CSE,8.0,4.0,60.0,No,65648,55.23888477859514
42,23,Male,CSE,7.0,8.0,57.0,No,68285,55.26465908877755
43,24,Male,EE,2.0,8.0,75.0,Yes,39063,33.5146151042565
44,23,Female,CSE,1.0,6.0,94.0,No,87642,25.621279425013842
45,20,Female,EE,4.0,8.0,93.0,Yes,57599,55.637526006650305
46,21,Female,ME,8.0,8.0,,Yes,71920,65.1793883654776
47,24,Female,EE,2.0,8.0,55.0,Yes,48529,23.43605654757807
